match_id,innings,for_wicket,team,opposition,player1,player2,player1_runs,player2_runs,player1_balls,player2_balls,partnership_runs,partnership_balls
237242,2,3.0,New Zealand,West Indies,9570.0,10311.0,19.0,7.0,16.0,5.0,28.0,21.0
237242,2,4.0,New Zealand,West Indies,1939.0,10311.0,2.0,2.0,9.0,4.0,7.0,13.0
237242,2,5.0,New Zealand,West Indies,10311.0,35647.0,3.0,2.0,6.0,4.0,5.0,10.0
237242,2,6.0,New Zealand,West Indies,9633.0,35647.0,1.0,2.0,4.0,2.0,3.0,6.0
237242,2,7.0,New Zealand,West Indies,10384.0,35647.0,4.0,9.0,10.0,8.0,13.0,18.0
237242,2,8.0,New Zealand,West Indies,9639.0,35647.0,3.0,3.0,4.0,3.0,6.0,7.0
237242,2,9.0,New Zealand,West Indies,9639.0,10280.0,10.0,8.0,5.0,4.0,19.0,9.0
251487,1,1.0,New Zealand,Sri Lanka,2121.0,10384.0,38.0,38.0,24.0,20.0,80.0,44.0
251487,1,2.0,New Zealand,Sri Lanka,9639.0,10384.0,1.0,1.0,3.0,2.0,2.0,5.0
251487,1,3.0,New Zealand,Sri Lanka,9639.0,44930.0,17.0,4.0,12.0,9.0,25.0,21.0
251487,1,4.0,New Zealand,Sri Lanka,2235.0,44930.0,6.0,17.0,6.0,12.0,24.0,18.0
251487,1,5.0,New Zealand,Sri Lanka,2235.0,9634.0,1.0,1.0,2.0,4.0,4.0,6.0
251487,1,6.0,New Zealand,Sri Lanka,2235.0,18948.0,12.0,3.0,5.0,6.0,15.0,11.0
251487,1,7.0,New Zealand,Sri Lanka,10316.0,18948.0,3.0,2.0,3.0,6.0,6.0,9.0
251487,1,8.0,New Zealand,Sri Lanka,10280.0,10316.0,0.0,3.0,2.0,2.0,3.0,4.0
251487,1,9.0,New Zealand,Sri Lanka,10316.0,15357.0,0.0,3.0,0.0,2.0,3.0,2.0
251487,2,1.0,Sri Lanka,New Zealand,1988.0,11334.0,27.0,6.0,15.0,10.0,36.0,25.0
251487,2,2.0,Sri Lanka,New Zealand,1988.0,6315.0,24.0,2.0,8.0,2.0,26.0,10.0
211048,1,1.0,Australia,New Zealand,4176.0,8876.0,1.0,7.0,1.0,4.0,8.0,5.0
211048,1,2.0,Australia,New Zealand,4176.0,4382.0,0.0,11.0,1.0,4.0,11.0,5.0
211048,1,3.0,Australia,New Zealand,2230.0,4382.0,1.0,21.0,4.0,9.0,25.0,13.0
211048,1,4.0,Australia,New Zealand,2066.0,2230.0,3.0,0.0,5.0,0.0,8.0,7.0
211048,1,5.0,Australia,New Zealand,2230.0,6259.0,48.0,30.0,31.0,25.0,83.0,56.0
211048,1,6.0,Australia,New Zealand,2230.0,6256.0,44.0,31.0,18.0,15.0,77.0,33.0
211048,2,1.0,New Zealand,Australia,2121.0,10384.0,18.0,29.0,13.0,15.0,48.0,28.0
211048,2,2.0,New Zealand,Australia,7410.0,10384.0,0.0,0.0,1.0,0.0,0.0,1.0
211048,2,3.0,New Zealand,Australia,9570.0,10384.0,12.0,6.0,6.0,6.0,18.0,12.0
211048,2,4.0,New Zealand,Australia,5619.0,9570.0,9.0,16.0,8.0,10.0,26.0,18.0
211048,2,5.0,New Zealand,Australia,1939.0,9570.0,1.0,1.0,4.0,1.0,2.0,5.0
211048,2,6.0,New Zealand,Australia,9570.0,9633.0,2.0,8.0,2.0,7.0,10.0,9.0
211048,2,7.0,New Zealand,Australia,9570.0,10316.0,9.0,7.0,5.0,6.0,16.0,11.0
211048,2,8.0,New Zealand,Australia,2128.0,9570.0,14.0,26.0,11.0,15.0,40.0,26.0
211048,2,9.0,New Zealand,Australia,2128.0,10303.0,4.0,0.0,3.0,0.0,4.0,3.0
211048,2,10.0,New Zealand,Australia,9631.0,10303.0,5.0,0.0,2.0,1.0,5.0,3.0
225263,1,1.0,England,Pakistan,3865.0,7822.0,24.0,14.0,13.0,17.0,39.0,30.0
225263,1,2.0,England,Pakistan,3865.0,8107.0,0.0,0.0,1.0,1.0,1.0,2.0
225263,1,3.0,England,Pakistan,3865.0,7023.0,0.0,0.0,0.0,2.0,0.0,2.0
225263,1,4.0,England,Pakistan,2314.0,3865.0,2.0,6.0,11.0,5.0,10.0,16.0
225263,1,5.0,England,Pakistan,3865.0,10647.0,23.0,21.0,17.0,20.0,47.0,37.0
225263,1,6.0,England,Pakistan,8307.0,10647.0,10.0,6.0,8.0,8.0,17.0,16.0
225263,1,7.0,England,Pakistan,6378.0,8307.0,13.0,1.0,11.0,2.0,16.0,13.0
225263,1,8.0,England,Pakistan,8307.0,45098.0,13.0,0.0,4.0,1.0,14.0,5.0
225263,2,1.0,Pakistan,England,8270.0,19647.0,16.0,7.0,16.0,6.0,23.0,22.0
225263,2,2.0,Pakistan,England,10439.0,19647.0,0.0,0.0,1.0,0.0,0.0,1.0
